x : 4.057674  y : 0.659381  deg : 2.254780
x : 4.057465  y : 0.765354  deg : 2.263959
x : 4.039867  y : 0.837201  deg : 1.313021
x : 4.024234  y : 0.884283  deg : 0.210483
x : 4.013503  y : 0.891992  deg : -1.362379
x : 3.992814  y : 0.953472  deg : -2.384109
x : 3.902240  y : 0.772027  deg : 0.080412
x : 3.859595  y : 0.763254  deg : 0.805193
x : 3.960104  y : 1.122987  deg : -2.784564
x : 3.976383  y : 1.179865  deg : -1.842980
x : 3.963920  y : 1.227644  deg : -0.918047
x : -nan  y : -nan  deg : -nan
x : 3.905666  y : 1.285392  deg : -1.679367
x : -2.695918  y : 0.679044  deg : 20.367378
x : -nan  y : -nan  deg : -nan
x : 3.859398  y : 1.223560  deg : -1.212566
x : 3.900268  y : 1.204943  deg : -2.128477
x : 3.817949  y : 1.254802  deg : -1.701594
x : 3.737570  y : 0.961346  deg : 2.790208
x : 3.739948  y : 0.815592  deg : 2.661800
x : 3.695715  y : 0.806165  deg : 5.641765
x : 3.802486  y : 1.398301  deg : -2.174264
x : 3.825664  y : 1.387870  deg : -0.640771
x : 3.791884  y : 1.272948  deg : -3.580475
x : 3.792888  y : 1.220182  deg : -3.173661
x : 3.793353  y : 1.206747  deg : -3.006420
x : 3.714807  y : 1.306169  deg : -3.201743
x : -nan  y : -nan  deg : -nan
x : 3.507114  y : 1.382709  deg : -2.606023
x : 3.317061  y : 0.541817  deg : 5.400210
x : 3.338661  y : 0.709579  deg : 3.844512
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -4.001815  y : 0.657521  deg : 14.114180
x : 3.182058  y : 0.652281  deg : 3.789845
x : 3.181979  y : 0.728923  deg : 3.146912
x : 3.152159  y : 0.951858  deg : -1.108532
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 2.945829  y : 0.526505  deg : 5.302819
x : -nan  y : -nan  deg : -nan
x : 3.044931  y : 0.897486  deg : -0.516383
x : 3.044627  y : 0.911373  deg : -0.921164
x : -4.232080  y : 0.566328  deg : 12.099181
x : 2.950592  y : 0.425763  deg : 4.180254
x : 2.960120  y : 0.347253  deg : 3.058489
x : 2.996425  y : 0.959822  deg : -0.858977
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.059129  y : 0.968105  deg : -1.335984
x : -4.081733  y : -1.424922  deg : 8.523598
x : 2.983533  y : 0.567834  deg : 5.541948
x : 3.146379  y : 1.059696  deg : -0.066172
x : -nan  y : -nan  deg : -nan
x : 3.223474  y : 1.141203  deg : 1.312842
x : 3.215374  y : 1.014281  deg : 3.531192
x : -nan  y : -nan  deg : -nan
x : -3.039667  y : 0.680184  deg : 19.724307
x : -nan  y : -nan  deg : -nan
x : 3.289995  y : 1.279543  deg : -3.448447
x : 3.334263  y : 1.303223  deg : -3.105995
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.411983  y : 1.365404  deg : -1.823122
x : 3.406188  y : 1.276407  deg : -0.278136
x : -nan  y : -nan  deg : -nan
x : 3.441804  y : 1.369178  deg : -2.719062
x : 3.305715  y : 1.138381  deg : 2.618705
x : 3.320688  y : 1.172478  deg : 2.433217
x : -nan  y : -nan  deg : -nan
x : 3.390001  y : 1.173903  deg : 0.963662
x : -nan  y : -nan  deg : -nan
x : 3.405331  y : 1.264077  deg : -0.132548
x : -nan  y : -nan  deg : -nan
x : 3.380852  y : 1.332689  deg : -0.593598
x : -nan  y : -nan  deg : -nan
x : 3.277244  y : 1.102208  deg : -0.886682
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.311423  y : 1.010721  deg : 3.334854
