x : 7.125660  y : -0.239924  deg : 164.405420
x : 7.138455  y : -0.236031  deg : 164.429019
x : 7.989450  y : 0.015463  deg : 54.554451
x : 7.990061  y : 0.014984  deg : 53.306778
x : 7.989082  y : 0.015129  deg : 57.815674
x : 7.995091  y : 0.009915  deg : 38.840627
x : 7.989923  y : 0.015049  deg : 53.807212
x : 7.989412  y : 0.015085  deg : 56.062797
x : 7.117492  y : -0.242415  deg : 164.390351
x : 7.989435  y : 0.014913  deg : 56.816078
x : 7.131534  y : -0.233543  deg : 164.698443
x : 7.117351  y : -0.237780  deg : 164.672823
x : 7.989778  y : 0.015266  deg : 54.054425
x : 7.995232  y : 0.009735  deg : 38.092126
x : 7.565460  y : -0.793676  deg : 118.450818
x : 7.989675  y : 0.015720  deg : 53.045940
x : 7.120850  y : -0.241390  deg : 164.396548
x : 7.995583  y : 0.009433  deg : 36.341362
x : 7.115951  y : -0.238199  deg : 164.670295
x : 7.989685  y : 0.015705  deg : 52.796143
x : 7.989771  y : 0.015278  deg : 54.054278
x : 7.995250  y : 0.009698  deg : 38.092730
x : 7.990055  y : 0.015137  deg : 52.553514
x : 7.130084  y : -0.233975  deg : 164.445825
x : 7.112352  y : -0.239277  deg : 164.663792
x : 7.995781  y : 0.009112  deg : 35.595329
x : 7.121877  y : -0.241077  deg : 164.398442
x : 7.989780  y : 0.015119  deg : 54.307563
x : 7.126903  y : -0.239545  deg : 164.407714
x : 7.114159  y : -0.243432  deg : 164.384202
x : 7.990122  y : 0.014749  deg : 53.811051
x : 7.990138  y : 0.015156  deg : 52.301947
x : 7.990493  y : 0.015039  deg : 50.799428
x : 7.990079  y : 0.014956  deg : 53.307145
x : 7.995119  y : 0.009749  deg : 39.344659
x : 7.989249  y : 0.015611  deg : 55.553827
x : 7.118856  y : -0.241998  deg : 164.392869
x : 7.989592  y : 0.015546  deg : 54.050841
x : 7.995731  y : 0.009220  deg : 35.843485
x : 7.989414  y : 0.015226  deg : 56.059869
x : 7.989468  y : 0.015584  deg : 54.301642
x : 7.989878  y : 0.015559  deg : 52.546684
x : 7.128927  y : -0.238929  deg : 164.411447
x : 7.995966  y : 0.009022  deg : 34.342395
x : 7.144154  y : -0.234301  deg : 164.439526
x : 7.123405  y : -0.235969  deg : 164.433761
x : 7.989700  y : 0.014952  deg : 55.062108
x : 7.997849  y : 0.005712  deg : 27.134309
x : 7.125918  y : -0.239845  deg : 164.405897
x : 7.989094  y : 0.015689  deg : 56.054082
x : 7.990292  y : 0.014918  deg : 52.305069
x : 7.995605  y : 0.009494  deg : 35.838825
x : 7.995412  y : 0.009689  deg : 36.838549
x : 7.990013  y : 0.015057  deg : 53.305835
x : 7.127466  y : -0.239373  deg : 164.408753
x : 7.989252  y : 0.015032  deg : 57.565749
x : 7.134362  y : -0.237275  deg : 164.421470
x : 7.989588  y : 0.014695  deg : 57.068764
x : 7.995450  y : 0.009499  deg : 37.343160
x : 7.995869  y : 0.009131  deg : 34.592025
x : 7.989946  y : 0.015158  deg : 53.304533
x : 7.989425  y : 0.015648  deg : 54.050827
x : 7.988029  y : 0.004484  deg : 85.465767
x : 7.110914  y : -0.239707  deg : 164.661193
x : 7.989528  y : 0.014920  deg : 56.314855
x : 7.990192  y : 0.014927  deg : 52.806238
x : 7.131905  y : -0.238022  deg : 164.416939
x : 7.988998  y : 0.015105  deg : 58.317075
x : 7.115489  y : -0.243026  deg : 164.386657
x : 7.989219  y : 0.015509  deg : 55.806341
x : 7.989967  y : 0.015127  deg : 53.554943
x : 7.990179  y : 0.014947  deg : 52.805982
x : 7.989585  y : 0.014428  deg : 57.824224
x : 7.135581  y : -0.236905  deg : 164.423718
x : 7.122381  y : -0.236275  deg : 164.681911
x : 7.137457  y : -0.231777  deg : 164.709141
x : 7.991955  y : 0.018574  deg : 46.918351
x : 7.140238  y : -0.226423  deg : 164.745821
x : 7.989711  y : 0.014795  deg : 56.065250
x : 7.125838  y : -0.235243  deg : 164.688155
x : 7.995698  y : 0.009401  deg : 35.588890
x : 7.989208  y : 0.015235  deg : 56.562102
x : 7.995234  y : 0.009732  deg : 38.342188
x : 7.123462  y : -0.240593  deg : 164.401366
x : 7.989248  y : 0.015037  deg : 57.315683
x : 7.989240  y : 0.014910  deg : 57.818351
x : 7.990165  y : 0.014970  deg : 53.055687
x : 7.142375  y : -0.234841  deg : 164.436246
x : 7.125754  y : -0.235268  deg : 164.438004
x : 7.989877  y : 0.014974  deg : 54.309411
x : 7.989520  y : 0.015072  deg : 55.811788
x : 7.989947  y : 0.015304  deg : 52.801348
x : 7.989578  y : 0.015130  deg : 55.309872
x : 7.990381  y : 0.014780  deg : 52.306866
x : 7.134471  y : -0.232667  deg : 164.703748
x : 7.118688  y : -0.242050  deg : 164.392559
x : 7.990232  y : 0.014866  deg : 52.807034
x : 7.112456  y : -0.243953  deg : 164.381059
x : 7.989728  y : 0.015342  deg : 54.053457
x : 7.989637  y : 0.014902  deg : 55.813914
x : 7.132190  y : -0.237936  deg : 164.417464
x : 7.989524  y : 0.014926  deg : 56.314778
x : 7.132055  y : -0.242582  deg : 164.134843
x : 7.989025  y : 0.014929  deg : 59.070281
x : 7.989919  y : 0.015347  deg : 52.800792
x : 7.989736  y : 0.015040  deg : 54.809794
x : 7.989224  y : 0.015213  deg : 56.812381
x : 7.989635  y : 0.015047  deg : 55.060917
x : 7.989701  y : 0.014951  deg : 55.312123
x : 7.989264  y : 0.015156  deg : 56.813086
x : 7.990103  y : 0.015064  deg : 52.554459
x : 7.989999  y : 0.014793  deg : 54.311717
x : 7.138236  y : -0.236098  deg : 164.428614
x : 7.989284  y : 0.015127  deg : 56.813440
x : 7.112407  y : -0.243968  deg : 164.380969
x : 7.130297  y : -0.238512  deg : 164.413974
x : 7.989553  y : 0.015311  deg : 54.806375
x : 7.989501  y : 0.014819  deg : 56.817243
x : 7.980753  y : 0.004633  deg : 99.465959
x : 7.133252  y : -0.237613  deg : 164.419423
x : 7.989458  y : 0.015306  deg : 55.307660
x : 7.989471  y : 0.015001  deg : 56.313848
x : 7.990146  y : 0.015441  deg : 51.545481
x : 7.989144  y : 0.015043  deg : 57.566724
x : 7.989832  y : 0.014758  deg : 55.314544
x : 7.132480  y : -0.237847  deg : 164.418000
x : 7.989548  y : 0.015318  deg : 54.806285
x : 7.989810  y : 0.014515  deg : 56.069882
x : 7.989985  y : 0.014956  deg : 53.808405
x : 7.989989  y : 0.014950  deg : 53.808478
x : 7.130129  y : -0.238563  deg : 164.413663
x : 7.125915  y : -0.239846  deg : 164.405891
x : 7.989002  y : 0.015241  deg : 57.814317
x : 7.990043  y : 0.015011  deg : 53.306441
x : 7.989915  y : 0.014918  deg : 54.310129
x : 7.989597  y : 0.014821  deg : 56.316080
x : 7.989283  y : 0.015129  deg : 56.563414
x : 7.989538  y : 0.014906  deg : 56.565029
x : 7.990140  y : 0.015008  deg : 52.805188
x : 7.989641  y : 0.015038  deg : 55.561030
x : 7.989495  y : 0.014827  deg : 56.817138
x : 7.989594  y : 0.015107  deg : 55.560168
x : 7.989600  y : 0.015098  deg : 55.310278
x : 7.989594  y : 0.015107  deg : 55.310157
x : 7.989655  y : 0.015160  deg : 54.558279
x : 7.989957  y : 0.014998  deg : 53.807866
x : 7.995574  y : 0.009453  deg : 36.341023
x : 7.128465  y : -0.239069  deg : 164.410595
x : 7.989490  y : 0.015116  deg : 56.061240
x : 7.989386  y : 0.015707  deg : 54.300083
x : 7.134447  y : -0.232674  deg : 164.453705
x : 7.989459  y : 0.015160  deg : 55.810695
x : 7.989268  y : 0.015009  deg : 57.066029
x : 7.989211  y : 0.014949  deg : 57.567869
x : 7.989673  y : 0.015425  deg : 53.552395
x : 7.989973  y : 0.014974  deg : 53.808173
x : 7.569267  y : -0.782198  deg : 118.340273
x : 7.124891  y : -0.240158  deg : 164.404002
x : 7.989767  y : 0.015580  deg : 53.047764
x : 7.995834  y : 0.009209  deg : 34.840677
x : 7.989726  y : 0.014914  deg : 55.312591
x : 7.990236  y : 0.014579  deg : 53.813239
x : 7.989533  y : 0.015197  deg : 55.309037
x : 7.125153  y : -0.240078  deg : 164.404485
x : 7.131473  y : -0.233561  deg : 164.698333
x : 7.989681  y : 0.015123  deg : 55.058750
x : 7.128133  y : -0.243800  deg : 164.377457
x : 7.129233  y : -0.234229  deg : 164.444288
x : 7.989722  y : 0.014919  deg : 55.312522
x : 7.130763  y : -0.238370  deg : 164.414832
x : 7.134956  y : -0.241682  deg : 164.140305
x : 7.989845  y : 0.015312  deg : 53.302547
x : 7.129176  y : -0.229655  deg : 164.726264
x : 7.134245  y : -0.237311  deg : 164.421256
x : 7.989679  y : 0.014982  deg : 55.311729
x : 7.989674  y : 0.014989  deg : 55.561643
x : 7.990039  y : 0.014875  deg : 53.809442
x : 7.990195  y : 0.014781  deg : 53.559403
x : 7.989424  y : 0.015211  deg : 55.810058
x : 7.989758  y : 0.015008  deg : 54.810200
x : 7.989449  y : 0.015175  deg : 55.810512
x : 7.989675  y : 0.014988  deg : 55.561653
x : 7.990113  y : 0.015049  deg : 53.054652
x : 7.148442  y : -0.228509  deg : 164.478974
x : 7.989135  y : 0.014917  deg : 58.569355
x : 7.989993  y : 0.014944  deg : 53.808561
x : 7.980592  y : 0.004762  deg : 99.214975
x : 7.989680  y : 0.014701  deg : 56.317566
x : 7.989504  y : 0.015238  deg : 55.308511
x : 7.127810  y : -0.239269  deg : 164.409387
x : 7.989427  y : 0.015497  deg : 54.804016
x : 7.092732  y : -0.245168  deg : 164.378330
x : 7.989425  y : 0.015210  deg : 55.810074
x : 7.126797  y : -0.230351  deg : 164.722057
x : 7.988852  y : 0.015450  deg : 58.061768
x : 7.980877  y : 0.004691  deg : 98.965491
x : 7.125695  y : -0.235285  deg : 164.437897
x : 7.989752  y : 0.014875  deg : 55.563074
x : 7.990337  y : 0.015288  deg : 50.796106
x : 7.134452  y : -0.232673  deg : 164.453713
x : 7.989558  y : 0.015304  deg : 54.806461
x : 7.989904  y : 0.014934  deg : 54.309926
x : 7.989995  y : 0.014940  deg : 53.808602
x : 7.991934  y : 0.019093  deg : 45.652025
x : 7.989931  y : 0.014893  deg : 54.060439
x : 7.989623  y : 0.015353  deg : 54.304582
x : 7.989794  y : 0.015098  deg : 54.307837
x : 7.142549  y : -0.234788  deg : 164.186566
x : 7.989353  y : 0.015030  deg : 56.814640
x : 7.989766  y : 0.014715  deg : 55.566248
x : 7.989739  y : 0.015180  deg : 54.556784
x : 7.989990  y : 0.014806  deg : 54.561546
x : 7.989728  y : 0.015053  deg : 54.809634
x : 7.989216  y : 0.014942  deg : 57.817956
x : 7.128553  y : -0.234432  deg : 164.443060
x : 7.989532  y : 0.015055  deg : 55.812002
x : 7.119598  y : -0.241772  deg : 164.394237
x : 7.989740  y : 0.014893  deg : 55.562855
x : 7.116431  y : -0.247438  deg : 164.355417
x : 7.989923  y : 0.014906  deg : 54.310272
x : 7.989379  y : 0.015133  deg : 56.312209
x : 7.131444  y : -0.238163  deg : 164.416089
x : 7.989320  y : 0.015362  deg : 55.808166
x : 7.989719  y : 0.014784  deg : 55.815392
x : 7.133469  y : -0.237547  deg : 164.419823
x : 7.989408  y : 0.014951  deg : 57.065607
x : 7.989823  y : 0.015199  deg : 53.805283
x : 7.139655  y : -0.240226  deg : 163.899151
x : 7.992077  y : 0.018988  deg : 45.650338
x : 7.138517  y : -0.226926  deg : 164.742777
x : 7.129036  y : -0.243519  deg : 164.379158
x : 7.989758  y : 0.014589  deg : 56.318958
x : 7.989754  y : 0.014872  deg : 55.313112
x : 7.125812  y : -0.235251  deg : 164.438108
x : 7.995286  y : 0.009844  deg : 37.337455
x : 7.135791  y : -0.236841  deg : 164.424106
x : 7.990134  y : 0.014872  deg : 53.308224
x : 7.989576  y : 0.015133  deg : 55.309834
x : 7.989358  y : 0.015163  deg : 56.311836
x : 7.989314  y : 0.014944  deg : 57.316826
x : 7.127394  y : -0.234778  deg : 164.690966
x : 7.134156  y : -0.241930  deg : 164.388799
x : 7.989509  y : 0.015232  deg : 55.308593
x : 7.989467  y : 0.015292  deg : 55.307838
x : 7.989601  y : 0.015386  deg : 54.304173
x : 7.146104  y : -0.229204  deg : 164.474753
x : 7.134041  y : -0.232795  deg : 164.452972
x : 7.989613  y : 0.015515  deg : 53.801246
x : 7.988896  y : 0.015246  deg : 58.565366
x : 7.989672  y : 0.015280  deg : 54.055518
x : 7.988998  y : 0.015829  deg : 55.802337
x : 7.128165  y : -0.234548  deg : 164.692359
x : 7.120883  y : -0.246053  deg : 164.363803
x : 7.148066  y : -0.233115  deg : 164.696738
x : 7.989805  y : 0.015373  deg : 53.551770
x : 7.989293  y : 0.015115  deg : 56.813589
x : 7.990259  y : 0.014969  deg : 52.304393
x : 7.147824  y : -0.233188  deg : 164.446291
x : 7.142009  y : -0.234952  deg : 164.685572
x : 7.989601  y : 0.014955  deg : 55.813254
x : 7.126857  y : -0.239559  deg : 164.407629
x : 7.125824  y : -0.239874  deg : 164.155723
x : 7.990569  y : 0.014918  deg : 50.801049
x : 7.988936  y : 0.015623  deg : 56.807327
x : 7.988954  y : 0.015451  deg : 57.310608
x : 7.989585  y : 0.014978  deg : 55.812965
x : 7.141267  y : -0.239727  deg : 164.402184
x : 7.989505  y : 0.014953  deg : 56.314445
x : 7.989852  y : 0.015012  deg : 54.308925
x : 7.980228  y : 0.004943  deg : 98.713603
x : 7.989113  y : 0.015086  deg : 57.816206
x : 7.120593  y : -0.236810  deg : 164.678682
x : 7.989285  y : 0.014985  deg : 57.316320
x : 7.134707  y : -0.232596  deg : 164.454174
x : 7.130846  y : -0.229166  deg : 164.729217
x : 7.989583  y : 0.015267  deg : 54.806927
x : 7.125826  y : -0.239873  deg : 164.405727
x : 7.127246  y : -0.234822  deg : 164.690700
x : 7.990044  y : 0.015602  deg : 51.293346
x : 7.988833  y : 0.015053  deg : 59.319853
x : 7.989368  y : 0.014730  deg : 57.320535
x : 7.122378  y : -0.245588  deg : 164.366618
x : 7.989418  y : 0.015365  deg : 55.556924
x : 7.989686  y : 0.015115  deg : 54.808849
x : 7.136532  y : -0.236616  deg : 164.175472
x : 7.122557  y : -0.245532  deg : 164.366956
x : 7.136299  y : -0.241266  deg : 164.142832
x : 7.132850  y : -0.237735  deg : 164.418682
x : 7.989543  y : 0.015326  deg : 54.806180
x : 7.989711  y : 0.015078  deg : 54.809314
x : 7.989427  y : 0.015497  deg : 54.554020
x : 7.119546  y : -0.232474  deg : 164.709235
x : 7.137828  y : -0.240792  deg : 164.395710
