7.883511 0.125293 86.664558
7.882841 0.123747 87.433669
7.873639 0.114593 96.295988
7.965691 0.130300 30.251496
7.966475 0.129541 29.759614
7.961784 0.128295 33.837389
7.874129 0.116239 94.528431
7.889385 0.129038 82.104045
7.886924 0.128388 83.621557
7.881021 0.122327 88.955086
7.885412 0.127805 84.628867
7.971628 0.131084 25.212901
7.871709 0.113244 97.814658
7.880973 0.122383 89.203577
7.882399 0.125393 87.163349
7.882685 0.123906 87.684944
7.965333 0.129373 30.750498
7.882090 0.124545 87.682462
7.875025 0.116421 94.779393
7.867480 0.107831 102.364787
7.884741 0.126225 85.649876
7.875380 0.116096 94.777919
7.883124 0.125714 86.663625
7.877849 0.118989 90.001186
7.875769 0.117821 91.016955
7.879699 0.121489 89.218347
7.878815 0.120190 88.486194
7.879515 0.120559 87.982360
7.867343 0.106937 98.877194
7.866671 0.105524 101.140095
7.881727 0.121566 86.713299
7.881161 0.121056 85.970369
7.879906 0.119092 88.739958
7.875589 0.113773 91.807131
7.882916 0.122514 86.201698
7.870377 0.109319 98.357188
7.887699 0.125068 83.921221
7.882625 0.120580 87.228435
7.880241 0.118713 90.751263
7.873881 0.111253 96.583694
7.887504 0.124163 84.177507
7.885448 0.121987 86.699690
7.881690 0.118327 90.745825
7.799863 0.118640 0.340821
7.895855 0.128133 79.103795
7.821245 0.109606 0.734834
7.811063 0.115582 0.793931
7.988032 0.139613 3.149407
7.256999 0.000000 180.000000
7.313352 0.000000 nan
7.332179 0.000000 179.999999
7.314638 0.000000 179.750000
7.309793 0.000000 180.000000
7.293839 0.000000 179.749999
7.290196 0.000000 179.999999
7.278841 0.000000 nan
7.281865 0.000000 179.749999
7.282433 0.000000 nan
7.282169 0.000000 nan
7.847820 0.111127 102.861841
7.856266 0.104637 100.695558
7.871346 0.125392 92.235521
7.875288 0.124737 90.744235
7.872059 0.123510 92.509544
7.950875 0.135192 40.469726
7.289188 0.000000 nan
7.963949 0.149619 1.797348
7.285611 0.000000 180.000000
7.281905 0.000000 179.750000
7.275982 0.000000 179.750000
7.279601 0.000000 179.999999
7.277491 0.000000 179.750000
7.266902 0.000000 179.750000
7.258543 0.000000 nan
7.279701 0.000000 179.749999
7.953947 0.138289 37.418632
7.279824 0.000000 179.750000
7.284290 0.000000 nan
7.292097 0.000000 nan
7.292914 0.000000 179.749999
7.293610 0.000000 nan
7.300475 0.000000 179.999999
7.945544 0.137041 43.671636
7.291265 0.000000 180.000000
7.289530 0.000000 179.999999
7.277620 0.000000 nan
7.264850 0.000000 179.999999
7.961210 0.139353 31.804980
7.864531 0.113191 100.369631
7.874691 0.125361 90.738030
7.877965 0.127699 88.200793
7.871042 0.121158 94.286258
7.866406 0.115759 98.841116
7.874647 0.123126 91.763444
7.874293 0.125754 90.739309
7.870058 0.120994 94.792195
7.873388 0.123301 92.258971
7.871510 0.121805 93.780023
7.864154 0.114557 100.359544
7.229145 0.000000 179.999999
7.873854 0.127353 90.227191
7.878602 0.130471 86.686944
7.332387 0.000000 nan
7.370341 0.000000 nan
7.956385 0.144646 34.029770
7.408531 0.000000 nan
7.929305 0.137154 54.518493
7.933139 0.138933 51.699015
7.357834 0.000000 180.000000
7.339052 0.000000 179.999999
7.336554 0.000000 nan
7.361077 0.000000 nan
7.383411 0.000000 180.000000
